Organisation,Duty Station,Level,Post Title,Closing Date,Posting Retrieved,Descriptions
UNAMA,KABUL,P-4,"POLITICAL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Political Affairs",2023-02-18,2023-02-13,https://unjoblist.org/r/?451763
UN DPI,NEW YORK,P-3,"PRESS OFFICER (French)  - Public Information and Conference Management, Public Information",2023-02-19,2023-01-08,https://unjoblist.org/r/?450004
UNOPS,"Bangkok, Thailand",LICA Specialist-8,Payroll Officer  Finance | Human Resources,2023-02-19,2023-01-19,https://unjoblist.org/r/?450427
UN OHCHR,KHARTOUM,P-5,"SENIOR HUMAN RIGHTS OFFICER  - Political, Peace and Humanitarian, Human Rights Affairs",2023-02-19,2023-01-22,https://unjoblist.org/r/?450619
UN OCHA,NEW YORK,P-4,"Programme Management Officer  - Economic, Social and Development, Programme Management",2023-02-19,2023-01-31,https://unjoblist.org/r/?451114
UNOPS,"Kyiv, Ukraine",LICA Specialist-8,Administration Officer  Administration,2023-02-19,2023-02-04,https://unjoblist.org/r/?451332
UNOPS,"Kyiv, Ukraine",LICA Specialist-9,HR Senior Officer  Human Resources,2023-02-19,2023-02-04,https://unjoblist.org/r/?451335
UNOPS,"Bujumbura, Burundi",LICA Specialist-9,Programme Management - Senior Officer (National Coordinator)  Programme Management,2023-02-19,2023-02-05,https://unjoblist.org/r/?451398
UNAMA,KABUL,P-3,"POLITICAL AFFAIRS OFFICER  - Political, Peace and Humanitarian, Political Affairs",2023-02-19,2023-02-06,https://unjoblist.org/r/?451406
UNAMA,KABUL,P-3,"POLITICAL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Political Affairs",2023-02-19,2023-02-06,https://unjoblist.org/r/?451407
UN DSS,NEW YORK,P-2,"ASSOCIATE SECURITY COORDINATION OFFICER  [Temporary] - Internal Security and Safety, Security",2023-02-19,2023-02-14,https://unjoblist.org/r/?451841
WHO,Afghanistan-Kabul,NO-B,Project Officer,2023-02-20,2023-01-30,https://unjoblist.org/r/?451055
UNOPS,"Geneva, Switzerland",P5,Chief Technical Officer  Health | Programme Management,2023-02-20,2023-02-02,https://unjoblist.org/r/?451186
UNOPS,"Geneva, Switzerland",IICA-2,Governance Officer  Administration | Programme Management,2023-02-20,2023-02-02,https://unjoblist.org/r/?451187
UNOPS,"Geneva, Switzerland",IICA-1,Communications Senior Officer  Communications,2023-02-20,2023-02-02,https://unjoblist.org/r/?451188
UNOPS,"Geneva, Switzerland",P2,Finance and Grants Officer  Finance | Project Management,2023-02-20,2023-02-02,https://unjoblist.org/r/?451190
UNOPS,"Amman, Jordan",LICA Specialist-8,Security Officer  Security,2023-02-20,2023-02-06,https://unjoblist.org/r/?451403
UNDP,"Kabul, Afghanistan",NOA,** Security and Training Officer (Nationals Only),2023-02-20,2023-02-07,https://unjoblist.org/r/?451434
UNMC,Valledupar,P-4,"LIAISON OFFICER  - Political, Peace and Humanitarian, Political Affairs",2023-02-20,2023-02-08,https://unjoblist.org/r/?451498
UNCHS,ACCRA,P-4,"PROGRAMME MANAGEMENT OFFICER, HUMAN SETTLEMENTS  [Temporary] - Logistics, Transportation and Supply Chain, Human Settlements",2023-02-20,2023-02-08,https://unjoblist.org/r/?451513
UNCHS,NAIROBI,P-3,"PROGRAMME MANAGEMENT OFFICER, HUMAN SETTLEMENTS  [Temporary] - Logistics, Transportation and Supply Chain, Human Settlements",2023-02-20,2023-02-08,https://unjoblist.org/r/?451514
UNON,NAIROBI,P-3,"HUMAN RESOURCES OFFICER  [Temporary] - Management and Administration, Human Resources",2023-02-20,2023-02-08,https://unjoblist.org/r/?451524
UN ESCAP,BANGKOK,P-3,"SUSTAINABLE DEVELOPMENT OFFICER  [Temporary] - Economic, Social and Development, Sustainable Development",2023-02-20,2023-02-09,https://unjoblist.org/r/?451594
WHO,Sudan-Khartoum,,Environmental Health officer Consultant,2023-02-20,2023-02-14,https://unjoblist.org/r/?451833
UNDP,"New York,  UNITED STATES OF AMERICA",International Consul,Research and Data Analyst Consultant,2023-02-20,2023-02-15,https://unjoblist.org/r/?451872
MINUSMA,BAMAKO,P-5,"MOVEMENT CONTROL OFFICER  [Temporary] - Logistics, Transportation and Supply Chain, Transportation",2023-02-20,2023-02-15,https://unjoblist.org/r/?451894
UN DESA,NEW YORK,P-4,"Programme Management Officer  [Temporary] - Economic, Social and Development, Programme Management",2023-02-20,2023-02-16,https://unjoblist.org/r/?451983
UNEP,NAIROBI,P-4,"HUMAN RESOURCES OFFICER  - Management and Administration, Human Resources",2023-02-21,2023-01-24,https://unjoblist.org/r/?450696
UNISDR,CAIRO,P-3,"PROGRAMME MANAGEMENT OFFICER, PARTNERSHIPS  - Economic, Social and Development, Programme Management",2023-02-21,2023-01-25,https://unjoblist.org/r/?450746
WHO,Switzerland-Geneva,P3,"Technical Officer, Infodemic Management",2023-02-21,2023-01-31,https://unjoblist.org/r/?451108
UNDP,"Lagos, Nigeria",NB4,** Research and Development Analyst (NPSA8),2023-02-21,2023-02-08,https://unjoblist.org/r/?451468
UNIFIL,NAQOURA,P-3,"POLITICAL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Political Affairs",2023-02-21,2023-02-08,https://unjoblist.org/r/?451497
UN DPI,KYIV,P-5,"SENIOR PUBLIC INFORMATION OFFICER  [Temporary] - Public Information and Conference Management, Public Information",2023-02-21,2023-02-15,https://unjoblist.org/r/?451907
UNEP,NAIROBI,P-5,"SENIOR PROGRAMME MANAGEMENT OFFICER  - Economic, Social and Development, Programme Management",2023-02-22,2023-01-10,https://unjoblist.org/r/?450057
UN OCHA,NEW YORK,P-4,"Programme Management Officer  - Economic, Social and Development, Programme Management",2023-02-22,2023-01-10,https://unjoblist.org/r/?450061
UN OCHA,NEW YORK,P-3,"Humanitarian Affairs Officer  - Political, Peace and Humanitarian, Humanitarian Affairs",2023-02-22,2023-01-10,https://unjoblist.org/r/?450062
UN OCHA,NEW YORK,P-3,"Humanitarian Affairs Officer (Pooled Fund Manager)  - Political, Peace and Humanitarian, Humanitarian Affairs",2023-02-22,2023-01-10,https://unjoblist.org/r/?450063
UN,BRINDISI,P-3,"LOGISTICS OFFICER  - Logistics, Transportation and Supply Chain, Logistics and Supply Chain",2023-02-22,2023-01-25,https://unjoblist.org/r/?450747
UN ESCWA,BEIRUT,P-4,"ECONOMIC AFFAIRS OFFICER  - Economic, Social and Development, Economic Affairs (and Sustainable Development)",2023-02-22,2023-01-25,https://unjoblist.org/r/?450786
UN ESCWA,BEIRUT,P-3,"Economic Affairs Officer  - Economic, Social and Development, Economic Affairs (and Sustainable Development)",2023-02-22,2023-01-25,https://unjoblist.org/r/?450787
WHO,Switzerland-Geneva,P2,Technical Officer (Quadripartite Joint Secretariat on AMR),2023-02-22,2023-02-02,https://unjoblist.org/r/?451245
WHO,Syrian Arab Republic-Qamishli,NO-C,Public Health Officer,2023-02-22,2023-02-08,https://unjoblist.org/r/?451499
WHO,Syrian Arab Republic-Damascus,P3,Field Security Officer,2023-02-22,2023-02-08,https://unjoblist.org/r/?451503
WHO,Philippines-Manila,P2,"Technical Officer (Surveillance), P-2, Fixed-Term, Manila, Philippines (Two Posts)",2023-02-22,2023-02-08,https://unjoblist.org/r/?451508
UNOPS,"Kathmandu, Nepal",LICA Specialist-8,Gender Equality Officer - Social Inclusion  Programme Management,2023-02-22,2023-02-09,https://unjoblist.org/r/?451532
UNOPS,"Tirana, Albania",LICA Specialist-9,Project Management Support - Senior Officer  Project Management,2023-02-22,2023-02-09,https://unjoblist.org/r/?451534
UNDP,"Islamabad, Pakistan",NB4,** Project Admin and Finance Officer (NPSA9),2023-02-22,2023-02-09,https://unjoblist.org/r/?451539
UNDP,Guinea-Bissau,SB4,** National Programme Officer (SB4) - UNODC,2023-02-22,2023-02-09,https://unjoblist.org/r/?451558
UNCHS,NAIROBI,P-2,"ASSOCIATE PROGRAMME MANAGEMENT OFFICER, HUMAN SETTLEMENTS ASSOCIATE PROGRAMME MANAGEMENT OFFICER, HUMAN SETTLEMENTS  [Temporary] - Logistics, Transportation and Supply Chain, Human Settlements",2023-02-22,2023-02-10,https://unjoblist.org/r/?451673
